;text;target
37;po rozpakowaniu okazalo sie ze przyslali zly model bez dodatkowej szyby ruchomej podobna nazwa ta sama firma moglo sie pomylic od razu zadzwonila m ;3
38;jest to dobra i wytrzymala obudowa ;2
39;i sama tez chciala m go posiadac efekt owczego pedu ;3
40;obudowa rury odprowadzajacej nie jest stalowo szczotkowana tylko blyszczaca ;3
41;niestety gra slabo widzi roznice w ruchach rozdzka ps move i podczas tych minut grania meczarni kilka razy postac zamiast skoczyc kladla sie lub nie chciala skrecic ;1
42;siedzisko profilowane jest strasznie niewygodne ;1
43;grzejniki ladne ale maja beznadziejne termostaty bez pamieci nastaw i mozliwosci programowania ;3
44;cala wiosne byl em bez sekatora co nie sprawialo mi przyjemnosci gdzie jest sporo ciecia i przycinania ;1
45;poprzednia wyciskarka ktorej uzywala m miala moc w i dzialala jak szatan ;0
46;szukala m wyciskarki ktora nie ma pojemnika na sok tylko wylewa bezposrednio do szklanki i ma duza moc ;0
47;pisala m juz opinie o tym wynalazku ale widze ze znikla ;1
48;granie do db z odleglosci metra jest bezpieczne ;2
49;tragedii bynajmniej nie ma po za elementem trzymajacym wozki z kolami ktorych nijak nie moge dokladnie wcisnac ;3
50;dzialal super przez pierwszy miesiac ;3
51;super ekspres dla niewymagajacych wielu funkcji w jednym bo w tym jest ubogi ale kawa jest normalnie parzona jak w drozszych ekspresach do ok zl smakowo rownie smaczna pianka idealna moj wybrany typ i rodzaj kawy pity z innych ekspresow ;3
52;proponuje powaznie sie zastanowic przed zakupem ;1
53;wady brak elektronicznego wyswietlacza brak sygnalu dzwiekowego informujacego o zakonczonym praniu nie wiadomo ile konkretny program trwa np brak informacji o praniu mini w instrukcji brak informacji o ile skraca przycisk skracajacy pranie przy konkretnej funkcji oznaczenie funkcji moglo by byc lepsze np w poprzedniej amice miala m funkcje jeansy reczniki szybkie min funkcje byly b intuicyjne jest dosc glosna ;1
54;sama butelka jest identyczna jak w przypadku zwyklych perfum nie ma na niej zadnych oznaczen czy napisu wskazujacego na fakt ze jest to tester ;2
55;lg powinna zwracac za to pieniadze ;1
56;siersc po eukanubie jest gesta lsniaca nie wypada ;2
57;dla osob majacych salon z kuchnia nie a jezeli jeszcze tam spia to jest harakiri ;1
58;fotelik jest rowniez bardzo ciezki ;1
59;laktator bardzo dobry poreczny malo elementow skladowych dobrze spelnia swoja role szybko mozna sciagnac mleko ;2
60;telefon godny polecenia mimo ze budzetowiec ekran naprawde pozytywnie zaskakuje jest jasny o bardzo dobrym kontrascie i katach widzenia mimo rozdzielczosci x przy cala nie widac pikseli jest lepiej niz przypuszczal em ze bedzie ;2
61;wojtek skad ty wzial es to ze podtrzymuje zasilanie ;3
62;przy maksymalnie wysunietym zaglowku glowa dziecka dotykala gornej krawedzi fotelika tak wiec nie wyobrazam sobie ze fotelik mial by sluzyc przez nastepnych kilka lat ;1
63;w tym smoczku mozna regulowac wielkosc przeplywu dzieki innowacyjnej konstrukcji smoczka wystarczy tylko przekrecic butelke ;2
64;wtedy mogl by m im wybaczyc ze po roku sie nie nadaja do niczego ;1
65;po dotarciu klockow i tarczy julia odznaczala sie potezna sila hamowania ;2
66;zachecony samymi pozytywnymi opiniami na ceneo postanowil em przed zakupem pozyczyc od znajomych ten cud techniki i go wyprobowac ;3
67;ramiona suszarki musza byc recznie poprawianie by zniwelowac nie wielkie kilku mm roznice w dopasowaniu skrzydel zaraz po zlozeniu ;1
68;wniosek ;3
69;i na koniec sprawa ea ;1
70;tyle lat sie meczyl em robiac orczyk z galki nr ;1
71;bylo by milo dla wszystkich zawiedzionych klientow ;1
72;woda smierdzi plastikiem mimo wielokrotnego gotowania i mycia ;1
73;jedne i drugie to bardzo budzetowe sluchawki ale mimo wszystko shp sa o klase lepsze ;3
74;ale drugi raz raczej nie kupil by m tak drogiej zabawki do wyciskania sokow i tak nie za czesto sie tego uzywa ;1
75;wrecz ja odradzam ;1
76;uzywany juz okolo miesiaca nasza corka od pierwszego zerkniecia sie w nim zakochala uwielbia w nim spac ;2
77;zabawka nie jest warta swojej ceny ;1
78;po zgloszeniu reklamacji dowiedzieli smy sie ze nalali smy wody do mlynka jak sie okazuje to czesta praktyka serwisow saeco ;1
79;ladny wyglad intuicyjna obsluga panel dotykowy sprawnie dzialajacy ;2
80;w swoim przedziale cenowym ok pln bezkonkurencyjny ;2
81;przed zakupem dlugo szukal em odpowiedniej wiertarki z sds i wszelkie pozytywne opinie na temat tejze wiertarki mloto utwierdzily mnie w przekonaniu ze wlasnie ta makita hrt jest tym czego szukam do zastosowania w domu ;2
82;profesjonalny wyglad i ciekawe rozwiazania aplikacja na smartfona dzieki ktorej mozesz stac sie ekspertem w dziedzinie czyszczenia zebow eleganckie etui ktore umozliwia jednoczesne ladowanie szczoteczki i smartfona przydatne szczegolnie dla osob ktore czesto podrozuja podswietlany pierscien ktory ostrzega przed zbyt mocnym naciskiem na dziasla ;2
83;sklep wymienil mi na nowy zobaczymy jak dlugo podziala ;3
84;nie lubie tez czytac komentarzy osob ktore po kilku uzyciach chwala jakie to wszystko cudne i wspaniale ;0
85;zadawalajaca jest jednak plynnosc animacji ;2
86;z posrod wielu lodowek wybral em ta bo bylo kilka pozytywnych opinii chcial em tez lodowke o wysokosci max cm jak poprzednia ;3
87;gdyby kojec mial pelne sztywne boki byl by znacznie lepszy ;3
88;puder zaliczyl lot ze stolika i ladowanie na podlodze i jest caly test odpornosci zdal celujaco ;2
89;omijac szerokim lukiem ;1
90;wobec far cry mialem wielkie oczekiwania i mimo wszystko troche sie zawiodl em ;1
91;gdyby m mial sie czepiac dopisal by m ewentualnie male swiatelko w srodku ale to jest drobnostka ;3
92;szkoda bo need for speed underground przy tym wypada duzo lepiej ;1
93;rowniez hot pursuit i most wanted sa ciekawsze poniewaz stawiaja na otwarte przestrzenie i rywalizacje ;0
94;geriavit stawial em na pierwszym miejscu z uwagi na jego najlepszy i uniewersalny sklad ;2
95;legalny uzytkownik nie powinien miec tyle klopotow ;1
96;o gustach sie co prawda nie piwinno sie dyskutowac ale te osoby ktorym to smakuje chyba nie maja kubkow smakowych albo nie jadly dobrego gainera ;1
97;poniewaz poza glownymi misjami w zasadzie na wyspie nie ma co robic ;1
98;z nadzieja spojrzal em na multicookera ;3
99;jezeli nie stac cie na oszczedzanie to nie kupuj tej niszczarki ;1
100;zadowolila m sie wiec sprzetem ktory kosztowal nie wiecej niz zl ;2
101;misa ze stali nierdzewnej jest bardzo trwala i solidna a przy tym zapewnia spora pojemnosc ;2
102;wiertarka ze wzgledu na slaby udar nadaje sie do uzytku typowo amatorskiego w domu ;3
103;bardzo ladne nienachalne kolory podswietlania chociaz niektorym moze brakowac koloru czerwonego mimo wszystko ladnie wyglada jak i mysz i klawiatura swieca w tych samych barwach ;3
104;nie warto kupowac tanich podrobek a one wychodza jednak drogo bo czasem wystarczy doplacic zl i juz ma sie oryginalne perfumy ;0
105;nie mialem innej sokowirowki wiec nie moge porownac ale wydaje mi sie ze mogla by lepiej wyciskac sok pozostalosci po owocach sa dosyc wilgotne choc dzieki temu mozna je wykorzystac jako owocowa papke do deserow lub jogurtu owocowego ;3
106;skruszy lod w drinku ;2
107;statyw jest malo stabilny zwlaszcza po obciazeniu go aparatem wygina sie ;1
108;o ile dokonania pythonow zwykle nie trafiaja do kazdego to ten film polecam wszystkim ;2
109;uwielbiam pedzelek do nakladania rozu jest bardzo poreczny i swietnie rozprowadza roz na policzkach ;2
110;jedynym pozytywem jest to ze mozna z tego rzeczywiscie telefonowac ;3
111;zabawka jest atrakcyjna i sprawia dziecku duzo radosci ;2
112;nie jest az tak bardzo glosny bynajmniej mam porownanie z ekspresem delonghi za zl halasliwosc porownywalna ;2
113;jestem osoba starsza z wyrobionymi nawykami i tradycjami w kuchni ;0
114;zaznaczam ze poza sucha ta karma dostaje rowniez surowa wolowine i ser bialy ;0
115;budka mogla by byc nieco dluzsza zimowe niskie slonce swieci dziecku w oczy ;1
116;szkoda bo po tych opiniach spodziewala m sie czegos naprawde skutecznie wspomagajacego gubienie kilogramow ;1
117;nisko schodzacy bas jednak dobrze kontrolowany ;2
118;w zasadzie jeszcze nie odkryl em zadnych wad tej anteny ;2
119;drukuje na niej okolo stron dziennie i codziennie czyszcze glowice niestety wiec tusze ida w zastraszajacym tempie ;1
120;ponadto pompa w kotle chodzi jak wsciekla wyziebiajac system grzewczy i zrac energie elektryczna mozna to ustawic tylko poprzez serwisanta na kotle ;1
121;urzadzenie male poreczne co jest jego jedyna zaleta ;3
122;koszt naprawy na miejscu przez serwisanta to ok zl a wiec ponad wartosci plyty ;1
123;wiecie kiedy to dostrzegl em ;0
124;bo owszem jak sie je przytrzyma rekami dociskajac mocno do ucha to slychac mocny bas ale bez tego docisku graja tak jak inne przecietne sluchawki za zl ;1
125;dlugo sie utrzymuje ;2
126;telewizor zwrocil em bez najmniejszego problemu a pieniadze z powrotem mialem na koncie w ciagu tygodnia ;3
127;ladnie prezentuja sie ale tylko przed polozeniem tak naprawde na podlodze wygladaja nijako ;1
128;wczesniejsza triada niestety sie zatarla ;0
129;te zarowki nie wytrzymuja nawet km mam zapisane co i kiedy wymienial em i po okolo roku przepalaja sie na szczescie nie jedna po drugiej ;1
130;szczerze mowiac nie zaluje wyboru ;2
131;wczesniej przez ok lat uzywala m silk epil super soft i byla m z niego super zadowolona ;0
132;pierwsze dwa tygodnie cudnie ;2
133;jednak trwalosc nie idzie w parze z cena jak na prostownice za taka cene ja jak i moja dziewczyna jestesmy zawiedzeni ;1
134;dopiero za trzecim razem serwisant po mojej sugestii zeby wlaczyc plukanie zobaczyl na wlasne oczy ze woda leje sie z szuflady na proszek ;1
135; mocowanie do lozeczka mam typowe lozeczko ze szczebelkami i mocowanie tej karuzeli do szczebelkow jest b niewygodne mocowanie kikut z gwintem umieszczony jest w dolnej czesci podstawy karuzeli trzeba mocno dokrecac kolko wrzyna sie drewniane szczebelki a i tak palak karuzeli nie jest prostopadly do podloza cala karuzela jest troche pochylona nad lozeczkiem i jest malo stabilna ;1
136;w zestawie rowniez etui na rozgrzany sprzet ;2
137;ogolnie troche zaluje a dlaczego ;1
138;splukal em sciagnal em wode sciagaczka po kazdym prysznicu takze sciagam wiec kabina nie jest nigdy mocno zakamieniona spryskal em ranigerem i poczekal em kilka minut a nastepnie zaczal em szorowac po pol godzinie szorowania gabka do naczyn mocno scierna splukal em sciagnal em wode ;3
139;jak by na te meble patrzen naprawde krytycznym okiem to dobry z nich byl tylko kluczyk i srubki ;1
140; elementarz to podstawa w dzieciecej nauce jezyka polskiego ;2
141;licencje podatki ;3
142;obecnie znowu znajduje sie w serwisie ;1
143;jest uniwersalny ;2
144;zmywarke uzytkuje od miesiecy i jestem bardzo zadowolony ;2
145;but za ciezki i za bardzo grzeje zeby siedziec w nim w budynku ;1
146;moja fizjoterapeutka skrytykowala owy wynalazek ;1
147;robil em nawet kawy bez tacki podkladalem plastikowe pudelko i woda ladnie do niego splywala ;3
148;ale jezeli nie ma jakiegos intensywnego wysilku fizycznego to jest ok dla cery suchej czy mieszanej idealny ;2
149;czytalam wiele opini ze fotelik jest waski i dziecko sie nie miesci ;3
150;no coz ;0
151;mimo iz sama fabula jest dosyc banalna film oglada sie z zaciekawieniem ;3
152;niech kazdy odpowie sobie sam ;0
153;chetniej kupila by m w podobnej cenie pralke ladowana tradycyjnie ktora dala by mi szanse zrobienia prania w min jednak uklad lazienki nie pozwala ;3
154;aplikacja dzieki ktorej sterujemy icontrolav amplitunerem dziala tylko poprzez wifi a szkoda ze nie poprzez bluetooth ;1
155;jestem posiadaczem tego wspanialego produktu ;3
156;celem podrozy jest park rozrywki world w kalifornii ;0
157;pompe zakupil em do nowego domu ;0
158;i teraz kolejny zwrot ;1
159;w zasadzie te uznala by m za niebezpieczne bo mozna przyciac skorke przez kiepski dostep do paznokietka ;1
160;mialem stycznosc z tym sprzetem jeden dzien i to wystarczylo ;1
161;oni mysla ze ich laktatory sa niezawodne ;1
162;zestaw kontrolny to podstawa do niego zakupuje odpowiednia ksiazeczke w zaleznosci od wieku dziecka ;3
163;olowek dosyc twardy ;3
164;nawet gdyby m zebral koszty zakupu mojego karmnika i wszystkich akcesoriow to zaledwie zblizyl by m sie do ceny blyszczacej kuli drogiej ladnej ale nieprzydatnej dla ptakow ;1
165;i to jescze w rozmiarze ;0
166;nie jest to moze perfekcja jaka jest gamepad od xboxa ale jezeli mial by m go ocenic w stopniowej skali to powiedzial by m ze solidne ;3
167;podejscie bukowskiego do kobiet jest fascynujace ;2
168;jest dobrze wykonany i przyjemny w uzytkowaniu ;2
169;generalnie nie ma wiekszych wad poza strasznie brudzacym sie ekranem po ok h uzytkowania caly ekran jest pokryty odciskami palcow i kurzem ktory sciaga jak budka z kebabem glodnych studentow ;3
170;sluchawka bardzo lekka i wygodna w noszeniu nawet caly dzien ale niewygodna w zakladaniu jak ktos ja wielokrotnie zdejmuje i zaklada to odradzam ;3
171;obiektyw bardzo ostry juz od najwiekszego otworu przyslony ;2
172;po pierwsze wydajny ;2
173;bas z subwoofera nie jest moze specjalnie gleboki ale daleko mu do dudnienia znanego z tanich creativeow ;3
174;uzywam jej od niedawna ale z tego co mi wiadomo czas zycia baterii jest bardzo dlugi i to sprawia ze jestem wstanie przymknac oko na wiekszosc mankamentow ;3
175;prowadnica pasa jest bardzo niedopracowana ;1
176;dokladnosc s mies ;1
177;pelnoprawnego przewodu zabraklo bo i mysz w trybie wired pracowac nie potrafi bez dzialania bezprzewodowego sie nie obejdzie ;1
178;gdyby nie byla prezentem oddal by m ja na serwis gwarancyjny ;1
179;nie jest to karcher za tys zl ;0
180;kupil em wpromocji za zl bo dzisiaj to juz mozna rzec starszy model ;3
181;tylko przestroga jest naprawde duza i ciezka czegos takiego sie nie przenosi czesto i nie stawia na biurku p;0
182;podsumowujac nie polecam ;1
183;sa to olowki ktore uzywam juz od dluzszego czasu ;3
184;oceniam laweczke ;1
185; to nie w ;1
186;wisienka na torcie jest obsluga wszelkich cyfrowych standardow dolby z neox i hi res audio na czele ;2
187;mysz dziala tylko przy mocniejszych ruchach zupelnie inaczej niz kilka innych myszek od najtanszych za zlotych ktore specjalnie podlaczyl em po zakupie tracer rf nano ;1
188;napisze ciag dalszy ;3
189;udalo sie wyregulowac ph moczu i kot nie gromadzi juz krysztalkow w moczu ;2
190;po awarii poprzedniej pralki troche sie brudnych rzeczy uzbieralo wiec juz kilka pran za mna ;3
191;zakupiony dni temu aktualizacja oprogramowania wyrzuca bledy wodoszczelnosc nie polecam go zanurzyc w wodzie ;1
192;na poczatku jawila mi sie jak wielki nieokielznany potwor jednak opanowanie jej zajelo mi tyko chwilke ;3
193;pieczenie u mnie sie nie sprawdzilo ze wzgledu na ilosc jaka mozna jednorazowo przyrzadzic ;1
194;za te pieniadze lepiej kupic cos od makity lub dewalta albo ze budzetowe euroteci i jak jeden sie zepsuje to na gwarancje a w tym czasie pracowac drugim ;1
195;podobna opinie zamiescil em na stronie eurocompl ale nie przeszla moderacji widac tylko pozytywne opinie maja szanse zostac opublikowane ;1
196;aby stwierdzic u pacjenta rls trzeba przejsc szereg badan po czym wdrazane jest leczenie farmakologiczne ;0
197;jakosc dzwieku jest bardzo dobra mikrofon tez jest ok ;2
198;zrobilo to na mnie olbrzymie wrazenie ;2
199;olowki posiadaja bardzo mocne uchwyty ktore zapobiegaja peknieciu ;2
200;ale na aparatow ktorzy mieli znajomi w pekly szybki ;1
201;slabo sciera martwy naskorek moze do codziennego uzytku w miare sie sprawdza ale za to ekspresowo sie konczy ;3
202;odglos lozyska subiektywnie mniej irytujacy niz w scythe aczkolwiek glosniejszy niz w bequiet silentwings ktory z kolei srednio radzi sobie na radiatorach i chlodnicach ;3
203;chyba wolala m koszyczek na sztucce od tej szuflady u gory ale to kwestia przyzwyczajenia ulozenie bardziej czasochlonne ;3
204;gdyby m miala wybierac jeszcze raz na pewno zdecydowala by m sie na ten model ponownie ;2
205;prostokatna bryla obudowy wedlug mnie jest zaleta mozna ja dowolnie polozyc lub wpiac w uchwyt uniwersalny np w rowerze ;2
206;posiadam ten obiektyw od dawna ;3
207;bo ten nie na daje sie do niczego ;1
208;niektore osoby zaliczaja ja do minusow gry ;0
209;zakupilem ostatnio komputer z tymze zasilaczem powiem tak jezeli ktos jest wymagajacym graczem i ogolnie lubi sobie pograc to nie jest to zasilacz dla was dla przykladu gdy odpalilem sims zasilacz chodzil tak glosno ze slychac go bylo w calym domu karta graficzna przez niego sie strasznie nagrzewa a przy wysokim obciazeniu poprostu jego glosnosc jest nie do wytrzymania nawet muzyka nie jest w stanie go zagluszyc i to nie typu what is love tylko ostry metal wiem bo sam sprawdzalem p ;1
210;nie wiem czy te opinie sa obiektywne ale moj egzemplarz do wyciskania sokow praktycznie w ogole sie nie nadaje ;1
211;jak na tydzien uzytkowania zrobil na mnie dobre wrazenie ;2
212;do produkcji stosowane sa rozne podzespoly wiec mozna trafic w calkiem rozsadnie dzialajacy produkt albo umoczyc ;3
213;na sile jeszcze zl miala metalowe slizgacze tutaj sa zwykle ale za to drugi komplet w zapasie na kleju od m ;3
214;serwis gwarancyjny to koszmar ;1
215;nie ma innej opcji bez statywu lub stabilizacji ;0
216;wada jest choc to normalne i nieuniknione ze czasem mimo wszystko jakas pestka nam ucieknie i nie zostanie wycisnieta ;3
217;ostatecznie zdecydowal em sie na kettlera coach m w domu mam juz rowerek tej samej firmy ;0
218;w skrocie kupcie inna tansza lepsza mysz od konkurencji ;1
219;z dzieckiem w foteliku jest to praktycznie nie mozliwe ;1
220;mam ten trymer od lat ;0
221;sporadycznie pojawia sie zamet chaos na ekranie ;1
222;nie jest to super sprzet ale nie najgorszy ;3
223;lepiej kupic bezposrednio u chinczykow nawet obsluga gwarancyjna o dziwo moze byc bardziej rzetelna ;1
224;pracownicy sklepu odradzili rowniez zlozenie reklamacji bo raczej nie zostanie uznana ;1
225;wykonanie jest tragiczne a cena bardzo wysoka ;1
226;dobry mikrofon ;2
227;obecnosc szczotki w poblizu konieczna ;1
228;kupil em zonie na podstawie recenzji internetowych bez ogladania i macania telefonu na zywo ;3
229;w sumie powinien em ten czajnik zwrocic ale tego nie zrobie ;1
230;ogolie dosyc glosny przy maksymalnej mocy ;1
231;ogolnie za takie pieniadze prawie zl to jakas porazka ;1
232;po krotkim uzytkowaniu zaczela pojawiac sie jakby rdza stal nierdzewna ;1
233;whirlpool ;3
234;my oczywiscie w tym czasie bedziemy mogli saune co najwyzej ogladac ;1
235;na tle wielu marek zachodnich mega slodkich i dosc do siebie podobnych oraz marek polskich o dosc osobliwych smakach fioletowa byla dla mnie i moich bliskich produktem wyjatkowym wrecz wyrafinowanym ;2
236;nie polecam silnika b s juz chinole maja gazniki przynajmniej metalowe ;1
237;ps ;0
238;podczas rozmowy telefonicznej tez slychac te ograniczenia nawet gdy telefon nie korzysta z kodeka wysokiej jakosci ;1
239;polecam ja wszystkim ktorzy pragna stac sie swiadomymi uzytkownikami internetu i innych systemow sieciowych ;2
240;jedyny minus ale za to ogromny to konstrukcja uniemozliwiajaca utrzymanie tego w czystosci ;3
241;niestety nie ;1
242;dobrze lezy w dloni i dziala na wielu systemach operacyjnych testowane na android debian windows ;2
243;niefortunnie kupil em kilka puszek ;1
244;podkladki antywibracyjne tylko przy srubach bequiet takze na calej powierzchni przylegania scythe brak ;3
245;na poczatku mialem watpliwosci co do tych duzych ramek ale okazalo sie ze niesamowicie pomagaja w trzymaniu telefonu w doslownie w kazdej pozycji ;2
246;wszystkie dzwignie nadaja sie tylko i wylacznie do zdemontowania gdyz przeszkadzaja i nie spelniaja swoich funkcji ;1
247;trzeba tez pamietac ze nie chodzi z tym lampa w trybie ttl bo nie ma najmniejszej komunikacji i aparat nie wie jaka jest ustawiona przyslona ;1
248;niezwlocznie zalozyl em je na tylna os poprzednie dunlopy byly juz zuzyte ;0
249;odkurzacz jest calkiem niezly ma kilka mankamentow ale to kwestia ceny ;3
250;uzywamy od roku i jestesmy zadowoleni ;2
251;film dostepny w niskiej cenie ;2
252;zalezalo mi na mocy max w ;3
253;idealnie nadaje sie dla fanow odcinka toy story bo wlasnie od pociagu zaczyna sie ta bajka ;2
254;tutaj nie ma slabych punktow ;2
255;pokrywa jest nieszczelna drobinki wydostaja sie na zewnatrz ;1
256;sama jakosc wykonania obudowy i jakosc plastiku w porownaniu do rumblepada jednak oczko nizej ;1
257;chwale bardzo wrazliwy i dokladny ekran ;2
258;w obu modelach wystepuje po jakims czasie ten sam problem ;1
259;za ta cene spodziewal em sie bardziej dopracowanego sprzetu ;1
260;nie polecam buty bardzo smierdza po kilku dniach noszenia w innych butach nie mam takich problemow do tego masakrycznie farbuja skarpetki w zasadzie sa do wyrzucenia po wyjeciu stopy trzeba uwazac by zakladac zawsze te same pofarbowane skarpetki do tych butow inaczej wszystkie takie beda a jesli ktos zmoczy buty z zewn to i nogawki spodni tez pofarbuje ;1
261;bateria nie trzyma dluzej niz dni czuwania ;1
262;do sprzedawcy okazuje sie padniety sensor ktory kosztuje nastepne ponad zl ;1
263;a liczcie sie z koniecznoscia dokupienia dod ;1
264;po wycisnieciu kilku sokow oddal em ;1
265;bardzo chwalone basy okazaly sie tepym malo zroznicowanym dudnieniem zaslaniajacym spora czesc pasma ;1
266;bardzo lubie kawy mleczne zwlaszcza z gesta pianka ;0
267;przeguby sa zrobione z wkretow do drewna o srednicy rdzenia zaledwie milimetra zdystansowanych na dodatek dlugimi na milimetrow tulejkami z tworzywa sztucznego ;1
268;szok ;3
269;poprzednie to cm i uniden ;0
270;w nocy jesli swiatlo pada pod katem od przedniej strony zegarka nie widzimy cyferek godziny bez podswietlania bo ten stelaz rzuca cien na cyferki i trzeba sie glupio obracac w miejscu albo wlaczac podswietlenie co jesli mamy zajeta reke jest niemozliwe i zajmuje troche czasu ;1
271;duza wada jest brak precyzji wykonania i w zwiazku z tym duzy luz pomiedzy korpusem i szczeka ruchoma ;1
272;artivit polecil nam przyjaciel ktory wczesniej sam stosowal preparat ;2
273;niby mozna tanio kupic zamienniki ale sa chipowane i nie kazdy z nich dziala gdy zaladuje sie pelen nowy zestaw ;1
274; scena z detektywem gdy przekazuje mu zdjecia ;0
275;niestety to nie laser tylko sznurki ;1
276;niestety oprogramowanie razer nie rozpoznaje wlasnej klawiatury ;1
277;a max w spelnia wszystkie moje wymagania i jest po prostu swietny pozdrawiam ;2
278;i owa sokowirowke przyszla ladna nowiutka jablka czekaja podlaczam urzadzenie do pradu i nic ;1
279;co z kolei w wiwie jest troche gorzej ale to nie problem cena jak na te parametry i wady za wysoka;1
280;by czytac ksiazke nalezalo zapisywac numer strony ;1
281;dla porownania zaparzyla m ta sama kawe w starym ekspresie i nie ma wlasciwie czego porownywac ;3
282;nie spodobal mi sie tez fakt ze matke i corke gra ta sama aktorka wprowadza to niepotrzebny zamet ;1
283;wiele sprawdzonych rozwiazan nie zostalo wprowadzonych bledy zamiast byc dawno naprawione zostaly bezmyslnie skopiowane do nowego systemu a funkcjonalnosc ograniczona ;1
284;z czystym sumieniem polecam pearle kazdemu kto mimo niewielkiego budzetu oczekuje od brzmienia naprawde wysokiego poziomu ;2
285;teraz minusy czujnik temperatury wystaje poza obudowe ;1
286;wszystko fajnie ale gdzies po uzyciu spieniacz zaczal bardzo glosno pracowac cos jak odkurzacz i polowicznie spieniac mleko pomimo ze wlewal em zalecana ilosc tlustego mleka dlatego postanowil em go zwrocic duzy ze firma profi cook zwraca pieniadze albo wymienia na nowe urzadzenie dlatego lepiej kupic ich produkt bezposrednio u nich bo ja zakupil em spieniacz w firmie mallpl i musialem czekac zanim mogl em w ogole wyslac im spieniacz na reklamacje ;3
287;niestety w przypadku tych futeralow nie bardzo widze sensowna alternatywe ze sklejki ;1
288;stelaz jest wykonany niestarannie polaczenia elementow podnoszonych sa zle zaprojektowane wytrzymalosciowo ;1
289;glowice nie otwieraja sie w zadanym czasie tylko jak chca lub wcale pisze o trybie bez inteligentnej prognozy jesli juz zechca zadzialac to kompletnie nie zwracaja uwagi na aktualna temperature w pomieszczeniu ;1
290;kompletna klapa nie kupujcie tego ;1
291;bardzo slabo wyciska sok i sie szybko zapycha a odpady sa bardzo mokre ;1
292;grill ma wade duza z ktora niestety zyl em lata ;1
